,86 days,,day,date, total invested 
total,"23,925.00",,day 1,8/22/22, $278.20 
days in course,86,,day 2,8/23/22, $556.40 
inv per day, $278.20 ,,day 3,8/24/22, $834.60 
,,,day 4,8/25/22," $1,112.80 "
no inc share,15950,,day 5,8/26/22," $1,391.00 "
,,,day 6,8/27/22," $1,669.20 "
,,,day 7,8/28/22," $1,947.40 "
as of date:,9/29/22,,day 8,8/29/22," $2,225.60 "
invested," $10,849.80 ",,day 9,8/30/22," $2,503.80 "
,,,day 10,8/31/22," $2,782.00 "
,,,day 11,9/1/22," $3,060.20 "
,,,day 12,9/2/22," $3,338.40 "
,,,day 13,9/3/22," $3,616.60 "
,,,day 14,9/4/22," $3,894.80 "
,,,day 15,9/5/22," $4,173.00 "
,,,day 16,9/6/22," $4,451.20 "
,,,day 17,9/7/22," $4,729.40 "
,,,day 18,9/8/22," $5,007.60 "
,,,day 19,9/9/22," $5,285.80 "
,,,day 20,9/10/22," $5,564.00 "
,,,day 21,9/11/22," $5,842.20 "
,,,day 22,9/12/22," $6,120.40 "
,,,day 23,9/13/22," $6,398.60 "
,,,day 24,9/14/22," $6,676.80 "
,,,day 25,9/15/22," $6,955.00 "
,,,day 26,9/16/22," $7,233.20 "
,,,day 27,9/17/22," $7,511.40 "
,,,day 28,9/18/22," $7,789.60 "
,,,day 29,9/19/22," $8,067.80 "
,,,day 30,9/20/22," $8,346.00 "
,,,day 31,9/21/22," $8,624.20 "
,,,day 32,9/22/22," $8,902.40 "
,,,day 33,9/23/22," $9,180.60 "
,,,day 34,9/24/22," $9,458.80 "
,,,day 35,9/25/22," $9,737.00 "
,,,day 36,9/26/22," $10,015.20 "
,,,day 37,9/27/22," $10,293.40 "
,,,day 38,9/28/22," $10,571.60 "
,,,day 39,9/29/22," $10,849.80 "
,,,day 40,9/30/22," $11,128.00 "
,,,day 41,10/1/22," $11,406.20 "
,,,day 42,10/2/22," $11,684.40 "
,,,day 43,10/3/22," $11,962.60 "
,,,day 44,10/4/22," $12,240.80 "
,,,day 45,10/5/22," $12,519.00 "
,,,day 46,10/6/22," $12,797.20 "
,,,day 47,10/7/22," $13,075.40 "
,,,day 48,10/8/22," $13,353.60 "
,,,day 49,10/9/22," $13,631.80 "
,,,day 50,10/10/22," $13,910.00 "
,,,day 51,10/11/22," $14,188.20 "
,,,day 52,10/12/22," $14,466.40 "
,,,day 53,10/13/22," $14,744.60 "
,,,day 54,10/14/22," $15,022.80 "
,,,day 55,10/15/22," $15,301.00 "
,,,day 56,10/16/22," $15,579.20 "
,,,day 57,10/17/22," $15,857.40 "
,,,day 58,10/18/22," $16,135.60 "
,,,day 59,10/19/22," $16,413.80 "
,,,day 60,10/20/22," $16,692.00 "
,,,day 61,10/21/22," $16,970.20 "
,,,day 62,10/22/22," $17,248.40 "
,,,day 63,10/23/22," $17,526.60 "
,,,day 64,10/24/22," $17,804.80 "
,,,day 65,10/25/22," $18,083.00 "
,,,day 66,10/26/22," $18,361.20 "
,,,day 67,10/27/22," $18,639.40 "
,,,day 68,10/28/22," $18,917.60 "
,,,day 69,10/29/22," $19,195.80 "
,,,day 70,10/30/22," $19,474.00 "
,,,day 71,10/31/22," $19,752.20 "
,,,day 72,11/1/22," $20,030.40 "
,,,day 73,11/2/22," $20,308.60 "
,,,day 74,11/3/22," $20,586.80 "
,,,day 75,11/4/22," $20,865.00 "
,,,day 76,11/5/22," $21,143.20 "
,,,day 77,11/6/22," $21,421.40 "
,,,day 78,11/7/22," $21,699.60 "
,,,day 79,11/8/22," $21,977.80 "
,,,day 80,11/9/22," $22,256.00 "
,,,day 81,11/10/22," $22,534.20 "
,,,day 82,11/11/22," $22,812.40 "
,,,day 83,11/12/22," $23,090.60 "
,,,day 84,11/13/22," $23,368.80 "
,,,day 85,11/14/22," $23,647.00 "
,,,day 86,11/15/22," $23,925.20 "
