,86 days,,day,date, total invested 
total,"23,925.00",,day 1,8/22/22, $278.20 
days in course,86,,day 2,8/23/22, $556.40 
inv per day,278.1976744,,day 3,8/24/22, $834.59 
,,,day 4,8/25/22," $1,112.79 "
no inc share,15950,,day 5,8/26/22," $1,390.99 "
,,,day 6,8/27/22," $1,669.19 "
,,,day 7,8/28/22," $1,947.38 "
as of date:,9/27/22,,day 8,8/29/22," $2,225.58 "
invested," $10,293.31 ",,day 9,8/30/22," $2,503.78 "
,,,day 10,8/31/22," $2,781.98 "
,,,day 11,9/1/22," $3,060.17 "
,,,day 12,9/2/22," $3,338.37 "
,,,day 13,9/3/22," $3,616.57 "
,,,day 14,9/4/22," $3,894.77 "
,,,day 15,9/5/22," $4,172.97 "
,,,day 16,9/6/22," $4,451.16 "
,,,day 17,9/7/22," $4,729.36 "
,,,day 18,9/8/22," $5,007.56 "
,,,day 19,9/9/22," $5,285.76 "
,,,day 20,9/10/22," $5,563.95 "
,,,day 21,9/11/22," $5,842.15 "
,,,day 22,9/12/22," $6,120.35 "
,,,day 23,9/13/22," $6,398.55 "
,,,day 24,9/14/22," $6,676.74 "
,,,day 25,9/15/22," $6,954.94 "
,,,day 26,9/16/22," $7,233.14 "
,,,day 27,9/17/22," $7,511.34 "
,,,day 28,9/18/22," $7,789.53 "
,,,day 29,9/19/22," $8,067.73 "
,,,day 30,9/20/22," $8,345.93 "
,,,day 31,9/21/22," $8,624.13 "
,,,day 32,9/22/22," $8,902.33 "
,,,day 33,9/23/22," $9,180.52 "
,,,day 34,9/24/22," $9,458.72 "
,,,day 35,9/25/22," $9,736.92 "
,,,day 36,9/26/22," $10,015.12 "
,,,day 37,9/27/22," $10,293.31 "
,,,day 38,9/28/22," $10,571.51 "
,,,day 39,9/29/22," $10,849.71 "
,,,day 40,9/30/22," $11,127.91 "
,,,day 41,10/1/22," $11,406.10 "
,,,day 42,10/2/22," $11,684.30 "
,,,day 43,10/3/22," $11,962.50 "
,,,day 44,10/4/22," $12,240.70 "
,,,day 45,10/5/22," $12,518.90 "
,,,day 46,10/6/22," $12,797.09 "
,,,day 47,10/7/22," $13,075.29 "
,,,day 48,10/8/22," $13,353.49 "
,,,day 49,10/9/22," $13,631.69 "
,,,day 50,10/10/22," $13,909.88 "
,,,day 51,10/11/22," $14,188.08 "
,,,day 52,10/12/22," $14,466.28 "
,,,day 53,10/13/22," $14,744.48 "
,,,day 54,10/14/22," $15,022.67 "
,,,day 55,10/15/22," $15,300.87 "
,,,day 56,10/16/22," $15,579.07 "
,,,day 57,10/17/22," $15,857.27 "
,,,day 58,10/18/22," $16,135.47 "
,,,day 59,10/19/22," $16,413.66 "
,,,day 60,10/20/22," $16,691.86 "
,,,day 61,10/21/22," $16,970.06 "
,,,day 62,10/22/22," $17,248.26 "
,,,day 63,10/23/22," $17,526.45 "
,,,day 64,10/24/22," $17,804.65 "
,,,day 65,10/25/22," $18,082.85 "
,,,day 66,10/26/22," $18,361.05 "
,,,day 67,10/27/22," $18,639.24 "
,,,day 68,10/28/22," $18,917.44 "
,,,day 69,10/29/22," $19,195.64 "
,,,day 70,10/30/22," $19,473.84 "
,,,day 71,10/31/22," $19,752.03 "
,,,day 72,11/1/22," $20,030.23 "
,,,day 73,11/2/22," $20,308.43 "
,,,day 74,11/3/22," $20,586.63 "
,,,day 75,11/4/22," $20,864.83 "
,,,day 76,11/5/22," $21,143.02 "
,,,day 77,11/6/22," $21,421.22 "
,,,day 78,11/7/22," $21,699.42 "
,,,day 79,11/8/22," $21,977.62 "
,,,day 80,11/9/22," $22,255.81 "
,,,day 81,11/10/22," $22,534.01 "
,,,day 82,11/11/22," $22,812.21 "
,,,day 83,11/12/22," $23,090.41 "
,,,day 84,11/13/22," $23,368.60 "
,,,day 85,11/14/22," $23,646.80 "
,,,day 86,11/15/22," $23,925.00 "
