lot_frontage,lot_area,year_built,year_remod/add,mas_vnr_area,bsmtfin_sf_1,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,roof_matl,roof_style,street,land_contour,land_slope,lot_config,lot_shape,garage_type,exter_cond,exter_qual,bsmt_exposure,bldg_type,saleprice
,13517,1976,2005,289.0,533.0,0.0,192.0,725.0,725,754,0,1479,475.0,0,44,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,CulDSac,IR1,Attchd,TA,Gd,No,1Fam,130500
43.0,11492,1996,1997,132.0,637.0,0.0,276.0,913.0,913,1209,0,2122,559.0,0,74,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,CulDSac,IR1,Attchd,TA,Gd,No,1Fam,220000
68.0,7922,1953,2007,0.0,731.0,0.0,326.0,1057.0,1057,0,0,1057,246.0,0,52,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,Gd,TA,No,1Fam,109000
73.0,9802,2006,2007,0.0,0.0,0.0,384.0,384.0,744,700,0,1444,400.0,100,0,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,BuiltIn,TA,TA,No,1Fam,174000
82.0,14235,1900,1993,0.0,0.0,0.0,676.0,676.0,831,614,0,1445,484.0,0,59,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,IR1,Detchd,TA,TA,No,1Fam,138500
137.0,16492,1966,2002,0.0,247.0,713.0,557.0,1517.0,1888,0,0,1888,578.0,0,0,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Corner,IR1,Attchd,TA,Gd,No,1Fam,190000
35.0,3675,2005,2006,82.0,547.0,0.0,0.0,547.0,1072,0,0,1072,525.0,0,44,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Basment,TA,TA,Gd,TwnhsE,140000
,12160,1959,1959,180.0,1000.0,0.0,188.0,1188.0,1188,0,0,1188,531.0,0,0,0,0,0,0,CompShg,Hip,Pave,Lvl,Gtl,Inside,IR1,Attchd,TA,TA,No,1Fam,142000
,15783,1952,1952,0.0,292.0,0.0,632.0,924.0,924,0,0,924,420.0,0,324,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,TA,TA,No,1Fam,112500
70.0,11606,1969,1969,192.0,650.0,0.0,390.0,1040.0,1040,1040,0,2080,504.0,335,0,0,0,0,0,CompShg,Gable,Pave,HLS,Sev,Inside,IR1,Attchd,TA,TA,Av,1Fam,135000
21.0,1680,1971,1971,232.0,387.0,0.0,96.0,483.0,483,504,0,987,264.0,0,0,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,TA,TA,No,Twnhs,85400
64.0,7488,2005,2005,0.0,393.0,0.0,815.0,1208.0,1208,0,0,1208,632.0,105,58,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,IR1,Attchd,TA,Gd,Av,1Fam,183600
120.0,26400,1880,2007,0.0,0.0,0.0,0.0,0.0,1288,728,0,2016,576.0,0,0,0,0,0,0,CompShg,Gable,Pave,Bnk,Gtl,FR2,Reg,Attchd,TA,Gd,,1Fam,131000
24.0,2645,1999,2000,456.0,813.0,0.0,147.0,960.0,962,645,0,1607,480.0,169,0,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,TA,Gd,No,Twnhs,200000
74.0,9627,2007,2007,0.0,24.0,0.0,1327.0,1351.0,1361,0,0,1361,610.0,0,50,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,Gd,Av,1Fam,193000
93.0,10114,2004,2005,0.0,0.0,0.0,1430.0,1430.0,1430,0,0,1430,624.0,0,0,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,TA,Av,1Fam,173500
34.0,4571,1916,1950,0.0,0.0,0.0,624.0,624.0,624,720,0,1344,513.0,0,0,96,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Detchd,TA,TA,No,1Fam,98000
80.0,8816,1963,1963,0.0,651.0,0.0,470.0,1121.0,1121,0,0,1121,480.0,0,80,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Corner,Reg,Detchd,TA,TA,No,1Fam,139000
71.0,8197,1977,1977,148.0,0.0,0.0,660.0,660.0,1285,0,0,1285,528.0,138,0,0,0,0,0,CompShg,Gable,Pave,Lvl,Gtl,Inside,Reg,Attchd,TA,TA,No,1Fam,143500
