lot_area,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,gr_liv_area,low_qual_fin_sf,year_remod/add,mas_vnr_area,year_built,yr_sold,bsmt_impact,basement_volume,basement_visible_surface_area,structure_square_footage,exterior_1st_AsphShn,exterior_1st_BrkComm,exterior_1st_BrkFace,exterior_1st_CBlock,exterior_1st_CemntBd,exterior_1st_HdBoard,exterior_1st_ImStucc,exterior_1st_MetalSd,exterior_1st_Plywood,exterior_1st_Stone,exterior_1st_Stucco,exterior_1st_VinylSd,exterior_1st_Wd Sdng,exterior_1st_WdShing,exterior_2nd_AsphShn,exterior_2nd_Brk Cmn,exterior_2nd_BrkFace,exterior_2nd_CBlock,exterior_2nd_CmentBd,exterior_2nd_HdBoard,exterior_2nd_ImStucc,exterior_2nd_MetalSd,exterior_2nd_Plywood,exterior_2nd_Stone,exterior_2nd_Stucco,exterior_2nd_VinylSd,exterior_2nd_Wd Sdng,exterior_2nd_Wd Shng,mas_vnr_type_BrkFace,mas_vnr_type_None,mas_vnr_type_Stone,saleprice
11492,559.0,0,74,0,0,0,0,2122,0,1997,132.0,1996,2009,0.0,3652.0,913.0,3035.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,220000
7922,246.0,0,52,0,0,0,0,1057,0,2007,0.0,1953,2010,0.0,3171.0,792.75,2114.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,109000
9802,400.0,100,0,0,0,0,0,1444,0,2007,0.0,2006,2010,0.0,1536.0,384.0,1828.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,174000
14235,484.0,0,59,0,0,0,0,1445,0,1993,0.0,1900,2010,0.0,1352.0,338.0,2121.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,138500
16492,578.0,0,0,0,0,0,0,1888,0,2002,0.0,1966,2010,0.0,4551.0,1137.75,3405.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,190000
3675,525.0,0,44,0,0,0,0,1072,0,2006,82.0,2005,2006,1094.0,2188.0,547.0,1619.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,140000
11606,504.0,335,0,0,0,0,0,2080,0,1969,192.0,1969,2007,1040.0,4160.0,1040.0,3120.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,135000
1680,264.0,0,0,0,0,0,0,987,0,1971,232.0,1971,2008,0.0,1449.0,362.25,1470.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,85400
7488,632.0,105,58,0,0,0,0,1208,0,2005,0.0,2005,2006,1208.0,4832.0,1208.0,2416.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,183600
26400,576.0,0,0,0,0,0,0,2016,0,2007,0.0,1880,2009,,,,2016.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,131000
2645,480.0,169,0,0,0,0,0,1607,0,2000,456.0,1999,2008,0.0,3840.0,960.0,2567.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,200000
9627,610.0,0,50,0,0,0,0,1361,0,2007,0.0,2007,2008,1351.0,5404.0,1351.0,2712.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,193000
10114,624.0,0,0,0,0,0,0,1430,0,2005,0.0,2004,2010,1430.0,7150.0,1787.5,2860.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,173500
4571,513.0,0,0,96,0,0,0,1344,0,1950,0.0,1916,2008,0.0,1872.0,468.0,1968.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,98000
8816,480.0,0,80,0,0,0,0,1121,0,1963,0.0,1963,2009,0.0,3363.0,840.75,2242.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,139000
8197,528.0,138,0,0,0,0,0,1285,0,1977,148.0,1977,2007,0.0,1980.0,495.0,1945.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,143500
8640,614.0,169,45,0,0,0,0,1547,0,2009,0.0,2009,2010,378.0,3024.0,756.0,2303.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,215200
8724,450.0,0,0,0,0,0,0,894,0,1968,0.0,1968,2007,0.0,3576.0,894.0,1788.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,129000
5664,499.0,212,59,0,0,0,0,1659,0,2000,0.0,2000,2009,0.0,6004.0,1501.0,3160.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,278000
12867,575.0,243,142,0,0,0,0,2253,0,2006,,2005,2006,1209.0,6045.0,1511.25,3462.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,344133
34650,572.0,264,0,0,0,0,0,1056,0,1955,0.0,1955,2006,528.0,3168.0,792.0,2112.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,145000
10573,530.0,0,49,0,0,288,0,1453,0,1961,3.0,1961,2009,0.0,4359.0,1089.75,2906.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,187500
8450,336.0,416,144,0,0,0,0,894,0,2009,0.0,1965,2010,0.0,2682.0,670.5,1788.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,138500
8250,0.0,0,0,133,0,0,0,1991,0,2006,0.0,1895,2007,0.0,2871.0,717.75,2948.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,119600
8064,576.0,0,0,0,0,0,0,924,0,2006,0.0,1949,2007,336.0,2016.0,504.0,1596.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,122900
9600,542.0,474,120,0,0,0,0,2524,0,1981,0.0,1981,2009,0.0,10096.0,2524.0,5048.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,278000
9549,481.0,0,30,0,0,216,0,1494,0,1996,0.0,1995,2006,1494.0,5976.0,1494.0,2988.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,270000
10950,410.0,0,48,0,0,0,0,948,0,1952,0.0,1952,2007,0.0,2844.0,711.0,1896.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,125000
10637,826.0,208,44,0,0,0,0,1718,0,2008,336.0,2007,2009,3410.0,8525.0,2131.25,3423.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,297000
9000,384.0,0,28,64,0,0,0,1142,0,1958,82.0,1958,2009,320.0,640.0,160.0,1302.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,113500
2665,336.0,104,26,0,0,0,0,1475,0,1977,0.0,1977,2006,0.0,2271.0,567.75,2232.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,127000
11751,546.0,0,122,0,0,0,0,1844,0,1977,480.0,1977,2010,0.0,7376.0,1844.0,3688.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,190000
9600,528.0,0,0,0,0,0,0,1242,0,1973,320.0,1973,2007,0.0,3726.0,931.5,2484.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,175500
8428,384.0,256,0,0,0,0,0,990,0,1994,0.0,1994,2007,0.0,3960.0,990.0,1980.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,146000
9937,276.0,736,68,0,0,0,0,1256,0,1965,0.0,1965,2008,0.0,3768.0,942.0,2512.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,147500
13891,850.0,216,229,0,0,0,0,2076,0,2006,,2006,2006,4152.0,10380.0,2595.0,4152.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,465000
12150,352.0,0,0,0,0,0,0,1795,0,1954,335.0,1954,2008,0.0,3150.0,787.5,2845.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,131500
11200,384.0,0,0,0,0,0,0,1040,0,1965,0.0,1965,2008,0.0,3120.0,780.0,2080.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,129500
9670,786.0,0,0,207,0,0,0,1873,0,1950,40.0,1935,2008,0.0,1824.0,456.0,2481.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,257076
10998,660.0,0,68,0,0,0,0,1604,0,1960,0.0,1941,2009,0.0,2952.0,738.0,2588.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,117000
7200,270.0,0,0,112,0,0,0,1502,0,2000,0.0,1931,2008,0.0,3104.0,776.0,2278.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,149000
9920,280.0,0,0,164,0,0,0,1063,0,1954,110.0,1954,2010,0.0,3168.0,792.0,2119.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,128000
2448,474.0,0,27,0,0,0,0,1626,0,2004,106.0,2003,2008,0.0,3056.0,764.0,2390.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,155000
7804,576.0,431,44,0,0,0,0,1981,0,1950,0.0,1928,2009,0.0,3366.0,841.5,3103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,135000
16692,564.0,0,112,0,0,440,519,2784,0,1978,184.0,1978,2006,0.0,5568.0,1392.0,4176.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,250000
1476,0.0,200,26,0,0,0,0,1092,0,1970,0.0,1970,2010,0.0,1638.0,409.5,1638.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,76000
10170,400.0,0,0,0,0,0,0,1575,0,1951,522.0,1951,2006,0.0,648.0,162.0,1791.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,155000
9364,299.0,379,36,0,0,0,0,1352,0,1969,143.0,1969,2010,0.0,1989.0,497.25,2015.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,158000
2544,480.0,0,172,0,0,0,0,1200,0,2005,0.0,2004,2010,0.0,2400.0,600.0,1800.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,149500
9888,240.0,0,0,160,0,0,0,936,0,1975,0.0,1954,2006,0.0,2808.0,702.0,1872.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,121000
7942,293.0,0,0,0,0,0,0,1040,0,1953,0.0,1953,2007,0.0,3120.0,780.0,2080.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,136000
11764,671.0,132,57,0,0,0,0,2270,0,2007,348.0,1999,2010,0.0,4608.0,1152.0,3422.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,290000
9000,550.0,208,364,0,0,0,0,2610,0,2007,0.0,2007,2007,1184.0,4736.0,1184.0,3794.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,303477
7308,225.0,0,0,236,0,0,0,1740,0,1950,0.0,1920,2008,0.0,2808.0,702.0,2676.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,122250
8750,350.0,280,0,0,0,0,0,1382,0,1955,0.0,1955,2009,0.0,4146.0,1036.5,2764.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,153000
8402,0.0,0,30,0,0,0,0,1120,0,2007,0.0,2007,2007,0.0,4480.0,1120.0,2240.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,147000
4000,216.0,0,0,0,0,0,0,1098,0,1995,0.0,1930,2007,0.0,2124.0,531.0,1629.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,148500
3363,380.0,0,40,0,0,0,0,1708,0,2004,117.0,2004,2006,0.0,3904.0,976.0,2684.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,130000
13615,843.0,158,105,0,0,0,0,1802,0,2006,510.0,2006,2007,3604.0,9010.0,2252.5,3604.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,372000
3013,440.0,142,20,0,0,0,0,1506,0,2005,145.0,2005,2006,2724.0,5448.0,1362.0,2868.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,213490
17485,572.0,0,0,0,0,0,0,1508,0,2010,96.0,2009,2010,3016.0,6032.0,1508.0,3016.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,308030
8910,539.0,0,0,192,0,0,0,1194,0,1959,0.0,1959,2006,327.5,1965.0,491.25,1849.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,159500
