,id,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,total_sqft,total_bath,total_porch_sf,total_home_quality,sqft_to_lot_ratio,sqft_to_quality_ratio,bed_to_bath_ratio,bsmt_to_totalsqft_ratio,porch_to_totalsqft_ratio,diff_grnd_livarea_totalsqft,size_relative_to_the_neighbors,lot_frontage_relative_to_the_neighbors,lot_area_relative_to_the_neighbors,remodeled_relative_to_the_neighbors,built_relative_to_the_neighbors,houses_in_neighborhood_with_basement,houses_in_neighborhood_with_garage,houses_in_neighborhood_with_fireplace,houses_in_neighborhood_with_pool,sqft_to_rooms_ratio,lot_frontage_to_lot_area_ratio
0,109,60,RL,68.87899941826643,13517,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,Ex,Y,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,Gd,6,Typ,0,Gd,Attchd,1976.0,RFn,2.0,TA,TA,Y,0,44,0,0,0,0,Gd,MnPrv,Shed,0,3,2010,WD ,130500,1479,2.5,44,14,0.10941777021528445,105.64285714285714,1.2,0.49019607843137253,0.029749830966869506,0,111,71.37081060117707,10405.288288288288,1970.0,1965.0,111,111,111,111,246.5,0.0050957312582870775
1,544,60,RL,43.0,11492,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,Ex,Y,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1997.0,RFn,2.0,TA,TA,Y,0,74,0,0,0,0,Gd,MnPrv,Shed,0,4,2009,WD ,220000,2122,2.5,74,12,0.18465019143752176,176.83333333333334,1.6,0.4302544769085768,0.034872761545711596,0,87,70.27066658642754,10159.494252873563,1994.0,1993.0,87,87,87,87,265.25,0.0037417333797424295
2,153,20,RL,68.0,7922,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,TA,Y,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,Gd,5,Typ,0,Gd,Detchd,1953.0,Unf,1.0,TA,TA,Y,0,52,0,0,0,0,Gd,MnPrv,Shed,0,1,2010,WD ,109000,1057,1.0,52,12,0.13342590254986114,88.08333333333333,3.0,1.0,0.04919583727530748,0,313,74.22425550184273,10014.741214057509,1963.0,1960.0,313,313,313,313,211.4,0.008583690987124463
3,318,60,RL,73.0,9802,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,TA,7,Typ,0,Gd,BuiltIn,2007.0,Fin,2.0,TA,TA,Y,100,0,0,0,0,0,Gd,MnPrv,Shed,0,4,2010,WD ,174000,1444,2.5,0,10,0.14731687410732502,144.4,1.2,0.2659279778393352,0.0,0,48,76.36810403335274,13066.041666666666,2003.0,2002.0,48,48,48,48,206.28571428571428,0.007447459702101612
4,255,50,RL,82.0,14235,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,TA,Y,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,TA,6,Typ,0,Gd,Detchd,1957.0,Unf,2.0,TA,TA,N,0,59,0,0,0,0,Gd,MnPrv,Shed,0,3,2010,WD ,138500,1445,2.0,59,14,0.10151036178433438,103.21428571428571,1.5,0.46782006920415226,0.04083044982698962,0,87,70.27066658642754,10159.494252873563,1994.0,1993.0,87,87,87,87,240.83333333333334,0.005760449596066034
5,138,20,RL,137.0,16492,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,Ex,Y,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,Gd,6,Mod,1,Gd,Attchd,1966.0,Fin,2.0,TA,TA,Y,0,0,0,0,0,0,Gd,MnPrv,Shed,0,6,2010,WD ,190000,1888,2.5,0,12,0.11447974775648799,157.33333333333334,0.8,0.8034957627118644,0.0,0,313,74.22425550184273,10014.741214057509,1963.0,1960.0,313,313,313,313,314.6666666666667,0.008307057967499394
6,2827,180,RM,35.0,3675,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,Gd,Y,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,TA,5,Typ,0,Gd,Basment,2005.0,Fin,2.0,TA,TA,Y,0,44,0,0,0,0,Gd,MnPrv,Shed,0,6,2006,New,140000,1072,2.0,44,11,0.2917006802721088,97.45454545454545,1.0,0.5102611940298507,0.041044776119402986,0,141,64.94543256635268,9880.340425531915,1960.0,1954.0,141,141,141,141,214.4,0.009523809523809525
7,145,20,RL,68.87899941826643,12160,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,Fa,Y,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,TA,6,Typ,0,Gd,Attchd,1959.0,RFn,2.0,TA,TA,Y,0,0,0,0,0,0,Gd,MnPrv,Shed,0,5,2010,COD,142000,1188,1.0,0,10,0.09769736842105263,118.8,3.0,1.0,0.0,0,313,74.22425550184273,10014.741214057509,1963.0,1960.0,313,313,313,313,198.0,0.00566439139952849
8,1942,20,RL,68.87899941826643,15783,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,0.0,632.0,924.0,GasA,TA,Y,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,TA,6,Typ,0,Gd,Detchd,1952.0,Unf,1.0,TA,TA,Y,0,324,0,0,0,0,Gd,MnPrv,Shed,400,6,2007,WD ,112500,924,1.0,324,10,0.05854400304124691,92.4,2.0,1.0,0.35064935064935066,0,163,63.0262208374822,8439.61963190184,1965.0,1920.0,163,163,163,163,154.0,0.004364125921451335
9,1956,60,RL,70.0,11606,Pave,Grvl,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,TA,Y,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,Fa,9,Typ,2,TA,Attchd,1969.0,Unf,2.0,TA,TA,Y,335,0,0,0,0,0,Gd,MnPrv,Shed,0,9,2007,WD ,135000,2080,2.0,0,10,0.17921764604514906,208.0,2.5,0.5,0.0,0,313,74.22425550184273,10014.741214057509,1963.0,1960.0,313,313,313,313,231.11111111111111,0.006031363088057901
10,1044,160,RM,21.0,1680,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,TA,Y,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,TA,4,Typ,0,Gd,Detchd,1971.0,Unf,1.0,TA,TA,Y,0,0,0,0,0,0,Gd,MnPrv,Shed,0,7,2008,COD,85400,987,1.5,0,11,0.5875,89.72727272727273,1.3333333333333333,0.48936170212765956,0.0,0,19,21.31578947368421,1798.1052631578948,1972.0,1972.0,19,19,19,19,246.75,0.0125
11,2752,20,RL,64.0,7488,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,Ex,Y,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,Gd,6,Typ,0,Gd,Attchd,2005.0,RFn,2.0,TA,TA,Y,105,58,0,0,0,0,Gd,MnPrv,Shed,0,2,2006,WD ,183600,1208,2.0,58,12,0.16132478632478633,100.66666666666667,1.0,1.0,0.048013245033112585,0,180,70.48252213819401,10227.283333333333,2002.0,2001.0,180,180,180,180,201.33333333333334,0.008547008547008548
12,807,70,RL,120.0,26400,Pave,Grvl,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,TA,TA,No,GLQ,0.0,Unf,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,TA,7,Mod,1,TA,Attchd,1900.0,Unf,2.0,TA,TA,P,0,0,0,0,0,0,Gd,MnPrv,Shed,0,6,2009,WD ,131000,2016,1.0,0,12,0.07636363636363637,168.0,4.0,0.0,0.0,0,87,70.27066658642754,10159.494252873563,1994.0,1993.0,87,87,87,87,288.0,0.004545454545454545
13,1177,160,FV,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,0.0,147.0,960.0,GasA,Ex,Y,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,Gd,7,Typ,0,Gd,Detchd,2000.0,Unf,2.0,TA,TA,Y,169,0,0,0,0,0,Gd,MnPrv,Shed,0,12,2008,ConLD,200000,1607,2.5,0,13,0.6075614366729679,123.61538461538461,1.2,0.5973864343497199,0.0,0,130,64.47251532644202,7510.723076923077,2006.0,2006.0,130,130,130,130,229.57142857142858,0.009073724007561436
14,1480,20,RL,74.0,9627,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1327.0,1351.0,GasA,Ex,Y,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,Gd,6,Typ,0,Gd,Attchd,2007.0,RFn,2.0,TA,TA,Y,0,50,0,0,0,0,Gd,MnPrv,Shed,0,6,2008,WD ,193000,1361,2.0,50,12,0.14137322114885217,113.41666666666667,1.5,0.9926524614254225,0.036737692872887584,0,180,70.48252213819401,10227.283333333333,2002.0,2001.0,180,180,180,180,226.83333333333334,0.007686714448945674
